execution_order,run_id,config_id,rep,config_hash,scan_type,timing,fragmentation,decoys,padding,source_port,command_template
1,C0142-r1,C0142,1,7dd518a653,sT,T1,f,d5,pad50,sp53,"nmap -sT -T1 -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
2,C0038-r2,C0038,2,235df5a75e,sT,T1,none,none,none,sp53,"nmap -sT -T1 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
3,C0324-r1,C0324,1,74ef917878,sF,T5,none,d10,none,none,"nmap -sF -T5 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
4,C0157-r2,C0157,2,0f81d45ca3,sT,T3,ff,none,pad50,sp53,"nmap -sT -T3 -f -f --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
5,C0026-r1,C0026,1,4ba767f5ab,sN,T0,none,d5,pad50,sp53,"nmap -sN -T0 -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
6,C0126-r3,C0126,3,87bba76513,sS,T1,ff,d5,pad50,sp53,"nmap -sS -T1 -f -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
7,C0182-r2,C0182,2,ada09248b3,sU,T2,ff,d10,none,none,"nmap -sU -T2 -f -f -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
8,C0051-r2,C0051,2,18da616c3f,sF,T3,f,d5,pad50,sp53,"nmap -sF -T3 -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
9,C0363-r2,C0363,2,3e9b26bec8,sF,T5,mtu24,none,none,sp53,"nmap -sF -T5 --mtu 24 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
10,C0253-r2,C0253,2,83a14986c9,sN,T5,ff,d5,pad50,none,"nmap -sN -T5 -f -f -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
